StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q2_8_TEXT,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_27,Q7_14,Q7_15,Q7_16,Q7_18,Q7_26,Q7_19,Q7_29,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11,Q12,Q12_6_TEXT,Q13,Q14,Q14_3_TEXT,Q15_1_x,Q15_1_y,Q17,Q18,Q18_8_TEXT,Q26,Q26_4_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q24_7_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,How did you get to campus today? - Selected Choice,How did you get to campus today? - Other (specify): - Text,What time did you arrive on campus today? Include AM/PM,What time will you leave campus today? Include AM/PM,Do you own a car?,What influenced your decision to use the transportation mode you chose ([QID33-ChoiceGroup-SelectedChoices])? Select up to 5 that apply:,Rank the reasons you chose from most influential to least influential (drag and drop): - Parking availabliity,Rank the reasons you chose from most influential to least influential (drag and drop): - Cost,Rank the reasons you chose from most influential to least influential (drag and drop): - Convenience,Rank the reasons you chose from most influential to least influential (drag and drop): - Safety,Rank the reasons you chose from most influential to least influential (drag and drop): - Privacy,Rank the reasons you chose from most influential to least influential (drag and drop): - Weather,Rank the reasons you chose from most influential to least influential (drag and drop): - Flexibility,Rank the reasons you chose from most influential to least influential (drag and drop): - Distance,Rank the reasons you chose from most influential to least influential (drag and drop): - Health,Rank the reasons you chose from most influential to least influential (drag and drop): - Exercise,Rank the reasons you chose from most influential to least influential (drag and drop): - Personal preference,Rank the reasons you chose from most influential to least influential (drag and drop): - Mode availabililty,Rank the reasons you chose from most influential to least influential (drag and drop): - Travel Time,Rank the reasons you chose from most influential to least influential (drag and drop): - Environmental concerns,Rank the reasons you chose from most influential to least influential (drag and drop): - None of the above,What year are you in school?,Select where your first on-campus activity was located today: - Group # 5 (Law),Select where your first on-campus activity was located today: - Group #12 (Greenhouse),Select where your first on-campus activity was located today: - Group #6 (Wilk),Select where your first on-campus activity was located today: - Group #7 (Clyde),Select where your first on-campus activity was located today: - Group #9 (Tanner),Select where your first on-campus activity was located today: - Group #8 (McKay),Select where your first on-campus activity was located today: - Group #10 (Fieldhouse),Select where your first on-campus activity was located today: - Group #11 (Maeser),Select where your first on-campus activity was located today: - Group #4 (Lavell),Select where your first on-campus activity was located today: - Group #2 (Marriott),Select where your last on-campus activity is located today: - Group # 5 (Law),Select where your last on-campus activity is located today: - Group #12 (Greenhouse),Select where your last on-campus activity is located today: - Group #6 (Wilk),Select where your last on-campus activity is located today: - Group #7 (Clyde),Select where your last on-campus activity is located today: - Group #9 (Tanner),Select where your last on-campus activity is located today: - Group #8 (McKay),Select where your last on-campus activity is located today: - Group #10 (Fieldhouse),Select where your last on-campus activity is located today: - Group #11 (Maeser),Select where your last on-campus activity is located today: - Group #4 (Lavell),Select where your last on-campus activity is located today: - Group #2 (Marriott),Where do you currently live?,Which complex do you currently live in? - Selected Choice,Which complex do you currently live in? - Other (specify): - Text,What type of housing do you live in?,What city do you currently live in? - Selected Choice,What city do you currently live in? - Other (specify): - Text,Please click/tap roughly where you live (or live closest to): - 1 - X,Please click/tap roughly where you live (or live closest to): - 1 - Y,"Where did you grow up? (City, State, Country)",What mode(s) of transportation did you primarily use to get to high school? (select all that apply) - Selected Choice,What mode(s) of transportation did you primarily use to get to high school? (select all that apply) - Other (specify): - Text,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Are you married?,Do you have children?,What is your area of study?,Which college do you work for?,Do you currently work?,Click to write the question text - Selected Choice,Click to write the question text - Other: - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_8_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID49_9""}","{""ImportId"":""QID49_10""}","{""ImportId"":""QID49_11""}","{""ImportId"":""QID49_12""}","{""ImportId"":""QID49_13""}","{""ImportId"":""QID49_14""}","{""ImportId"":""QID49_15""}","{""ImportId"":""QID3""}","{""ImportId"":""QID61_7""}","{""ImportId"":""QID61_9""}","{""ImportId"":""QID61_10""}","{""ImportId"":""QID61_11""}","{""ImportId"":""QID61_12""}","{""ImportId"":""QID61_13""}","{""ImportId"":""QID61_14""}","{""ImportId"":""QID61_15""}","{""ImportId"":""QID61_16""}","{""ImportId"":""QID61_17""}","{""ImportId"":""QID64_7""}","{""ImportId"":""QID64_9""}","{""ImportId"":""QID64_10""}","{""ImportId"":""QID64_11""}","{""ImportId"":""QID64_12""}","{""ImportId"":""QID64_13""}","{""ImportId"":""QID64_14""}","{""ImportId"":""QID64_15""}","{""ImportId"":""QID64_16""}","{""ImportId"":""QID64_17""}","{""ImportId"":""QID10""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_6_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_3_TEXT""}","{""ImportId"":""QID65"",""point"":1,""coord"":""x""}","{""ImportId"":""QID65"",""point"":1,""coord"":""y""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_8_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_7_TEXT""}"
2022-02-18 12:07:42,2022-02-18 12:11:50,IP Address,100,247,True,2022-02-18 12:11:50,R_vUfIRcWSrKxuAMx,anonymous,EN,The Ryde shuttle bus,,19:50,22:00,Yes,"Parking availabliity,Cost,Convenience,Mode availabililty,Environmental concerns",3,1,2,,,,,,,,,5,,4,,Junior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,On,3,On,On,On,On,On,On,On-campus housing,Wyview Park,,,,,,,"Taylorsville, Utah, USA","Drive alone or with siblings,Walk",,,,Yes,"Yes, more than 1",Engineering,,"Yes, off campus",Bachelor's degree,
2022-02-18 12:09:00,2022-02-18 12:15:04,IP Address,100,363,True,2022-02-18 12:15:04,R_esolWy68qvA4qWZ,anonymous,EN,Walk,,07:35,12:15,No,"Cost,Convenience,Distance,Personal preference,Mode availabililty",,3,1,,,,,2,,,4,5,,,,Graduate student,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,On,3,On,On,On,On,On,On,Off-campus BYU-contracted housing,,,,Provo,,1025,663,"Idaho Falls, Idaho, USA",Walk,,,,No,No,Engineering,,"Yes, on campus",Bachelor's degree,
2022-02-18 17:50:51,2022-02-18 17:54:21,IP Address,100,210,True,2022-02-18 17:54:22,R_3Dwj0eRyhRIB1GO,anonymous,EN,"Bicycle, scooter, skateboard, etc.",,07:45,22:00,Yes,"Cost,Convenience,Flexibility,Exercise,Travel Time",,3,1,,,,2,,,4,,,5,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,3,On,On,On,On,On,On,Off-campus BYU-contracted housing,,,,Provo,,1121,747,"Rockville, [MD], Montgomery","Drive alone or with siblings,School bus,Walk",,,,No,No,Engineering,,"Yes, on campus",Some college,
2022-02-18 12:06:52,2022-02-18 12:08:43,IP Address,4,110,False,2022-02-25 12:06:53,R_sh6bXgf7PfQY0ff,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 12:07:08,2022-02-18 12:07:35,IP Address,4,27,False,2022-02-25 12:07:10,R_siJipAdl1oVFlcJ,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28 16:20:20,2022-02-28 16:21:43,IP Address,100,83,True,2022-02-28 16:21:44,R_3qr62D68D63rpZo,anonymous,EN,Drive alone,,16:20,16:20,Yes,"Convenience,Privacy",,,1,,2,,,,,,,,,,,Graduate student,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,On,3,On,On,On,On,On,On,On,On-campus housing,Foreign Language Student Residence (FLSR),,,,,,,United States,Drive alone or with siblings,,Male,,No,No,Engineering,,"Yes, on campus",Trade school,
2022-03-02 13:52:21,2022-03-02 13:54:53,IP Address,100,152,True,2022-03-02 13:54:53,R_xmTrYofHkxXUH61,anonymous,EN,Walk,,09:30,11:45,Yes,Convenience,,,1,,,,,,,,,,,,,Senior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,On,3,On,On,On,On,On,On,Off-campus BYU-contracted housing,,,,Provo,,2594,2118,"Eugene, Oregon, US",Drive alone or with siblings,,Male,,No,No,Engineering,,"Yes, off campus",Master's degree,
2022-02-23 14:12:35,2022-02-23 14:13:02,IP Address,4,27,False,2022-03-02 17:11:19,R_2thUhrgKmR1pAkr,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-07 15:04:08,2022-03-07 15:10:32,IP Address,100,384,True,2022-03-07 15:10:33,R_UuLFrSLcRnGOSpr,anonymous,EN,UTA Transit (incl. UVX Bus),,07:00,19:00,No,"Convenience,Weather,Mode availabililty,Travel Time,Environmental concerns",,,1,,,3,,,,,,2,4,5,,Senior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Provo,,2353,2820,"Prescott, AZ, United States","Drive alone or with siblings,Carpool with peers,Dropped off by parent or guardian",,Female,,Yes,No,Engineering,,"Yes, off campus",Bachelor's degree,
2022-03-08 16:01:59,2022-03-08 16:04:09,IP Address,100,129,True,2022-03-08 16:04:09,R_24bXimTMsLkvxDj,anonymous,EN,Drive alone,,07:00,20:00,Yes,"Parking availabliity,Convenience,Safety,Weather,Health",1,,2,3,,4,,,5,,,,,,,Freshman,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,0,3300,"Fake Survey, Bottom Left, USA",Drive alone or with siblings,,Male,,No,No,Business,,"Yes, on campus",No college/post-secondary education,
2022-03-08 16:05:12,2022-03-08 16:06:22,IP Address,100,70,True,2022-03-08 16:06:23,R_1MKwJni7vQy2bxs,anonymous,EN,Drive alone,,07:00,08:00,Yes,"Parking availabliity,Cost,Convenience,Safety,Weather",1,2,3,4,,5,,,,,,,,,,Freshman,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,3300,3300,Bottom Right,Drive alone or with siblings,,Male,,Yes,"Yes, 1",Business,,"Yes, on campus",No college/post-secondary education,
2022-03-08 16:06:35,2022-03-08 16:07:47,IP Address,100,71,True,2022-03-08 16:07:47,R_3ISNTopyA2aH2lp,anonymous,EN,Drive alone,,07:00,08:00,Yes,"Parking availabliity,Cost,Privacy,Exercise",1,2,,,3,,,,,4,,,,,,Freshman,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Non-BYU-contracted housing (including with family),,,,Provo,,4,0,Fake Top Left,Drive alone or with siblings,,Male,,Yes,"Yes, 1",Business,,"Yes, on campus",No college/post-secondary education,
2022-03-08 16:08:06,2022-03-08 16:09:21,IP Address,100,74,True,2022-03-08 16:09:21,R_2Pu0vW7QHHhnpvS,anonymous,EN,Drive alone,,07:00,20:00,Yes,"Parking availabliity,Cost",1,2,,,,,,,,,,,,,,Freshman,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,3300,0,Fake Top Right,Drive alone or with siblings,,Male,,Yes,"Yes, 1",Business,,"Yes, on campus",No college/post-secondary education,
2022-03-08 16:31:49,2022-03-08 16:40:17,IP Address,58,508,False,2022-03-15 17:31:56,R_3pUwKfkt3FeLAul,anonymous,EN,Motorcycle or similar,,23:00,06:06,Yes,Cost,,1,,,,,,,,,,,,,,Junior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,,,,,,,,,,,,,,
2022-03-23 12:32:04,2022-03-23 12:34:58,IP Address,100,174,True,2022-03-23 12:34:58,R_3wo76PcWXx7QhnH,anonymous,EN,Drive alone,,10:30,23:30,Yes,"Convenience,Flexibility,Travel Time",,,2,,,,3,,,,,,1,,,Senior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1631,1490,"Provo, UT, USA","Drive alone or with siblings,Walk",,Male,,No,No,Engineering,,"Yes, both on and off campus",Master's degree,
2022-03-23 19:49:56,2022-03-23 19:56:57,IP Address,100,420,True,2022-03-23 19:56:57,R_2qdzb82qVuEgunx,anonymous,EN,Drive alone,,11:45,15:30,Yes,"Convenience,Distance,Personal preference,Mode availabililty,Travel Time",,,2,,,,,1,,,5,3,4,,,Graduate student,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Provo,,670,1832,"Las Vegas, Nevada","Drive alone or with siblings,Dropped off by parent or guardian,School bus,Walk",,Female,,No,No,Humanities,,"Yes, on campus",Doctorate or professional degree,
2022-03-28 10:03:28,2022-03-28 10:06:40,IP Address,100,192,True,2022-03-28 10:06:40,R_2dLy6dPCSGvUFnS,qr,EN,Drive alone,,05:50,17:00,Yes,"Parking availabliity,Cost,Distance,Personal preference,Environmental concerns",1,2,,,,,,5,,,3,,,4,,Sophomore,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,2938,1932,Spokane WA,"Carpool with peers,Dropped off by parent or guardian,School bus",,Female,,No,No,Life Sciences,,"Yes, on campus",Master's degree,
2022-03-28 10:03:34,2022-03-28 10:06:41,IP Address,100,187,True,2022-03-28 10:06:42,R_1pGcLfRMr3ngXuq,qr,EN,Walk,,08:57,10:04,Yes,"Convenience,Distance,Personal preference,Travel Time",,,1,,,,,2,,,4,,3,,,Senior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2147,1990,Suburb,School bus,,Male,,No,No,Life Sciences,,"Yes, on campus",Bachelor's degree,
