ID,date,mode,time_arrive,time_leave,car_own,rank_1,rank_2,rank_3,rank_4,rank_5,first_activity,last_activity,school_year,housing,complex,housing_type,city,longitude,latitude,grow_up,hs_modes,gender,married,children,college,college_work,work,parent_education
R_vUfIRcWSrKxuAMx,2022-02-18 12:11:50,The Ryde shuttle bus,7H 50M 0S,22H 0M 0S,Yes,Cost,Convenience,Parking,Environment,Availability,7,5,Junior,On-campus housing,Wyview Park,NA,NA,111.66039,40.26054,"Taylorsville, Utah, USA","Drive alone or with siblings,Walk",NA,Yes,"Yes, more than 1",Engineering,NA,"Yes, off campus",Bachelor's degree
R_esolWy68qvA4qWZ,2022-02-18 12:15:04,Walk,7H 35M 0S,12H 15M 0S,No,Convenience,Distance,Cost,Preference,Availability,7,5,Graduate student,Off-campus BYU-contracted housing,NA,NA,Provo,111.68360126212121,40.270242670818185,"Idaho Falls, Idaho, USA",Walk,NA,No,No,Engineering,NA,"Yes, on campus",Bachelor's degree
R_3Dwj0eRyhRIB1GO,2022-02-18 17:54:22,"Bicycle, scooter, skateboard, etc.",7H 45M 0S,22H 0M 0S,Yes,Convenience,Flexibility,Cost,Exercise,Time,9,5,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.6812872839394,40.26869121372727,"Rockville, [MD], Montgomery","Drive alone or with siblings,School bus,Walk",NA,No,No,Engineering,NA,"Yes, on campus",Some college
R_3qr62D68D63rpZo,2022-02-28 16:21:44,Drive alone,16H 20M 0S,16H 20M 0S,Yes,Convenience,Privacy,NA,NA,NA,6,5,Graduate student,On-campus housing,Foreign Language Student Residence (FLSR),NA,NA,NA,NA,United States,Drive alone or with siblings,Male,No,No,Engineering,NA,"Yes, on campus",Trade school
R_xmTrYofHkxXUH61,2022-03-02 13:54:53,Walk,9H 30M 0S,11H 45M 0S,Yes,Convenience,NA,NA,NA,NA,7,5,Senior,Off-campus BYU-contracted housing,NA,NA,Provo,111.64578218121213,40.243369217636364,"Eugene, Oregon, US",Drive alone or with siblings,Male,No,No,Engineering,NA,"Yes, off campus",Master's degree
R_UuLFrSLcRnGOSpr,2022-03-07 15:10:33,UTA Transit (incl. UVX Bus),7H 0M 0S,19H 0M 0S,No,Convenience,Availability,Weather,Time,Environment,7,7,Senior,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.65159123060607,40.2304034690909,"Prescott, AZ, United States","Drive alone or with siblings,Carpool with peers,Dropped off by parent or guardian",Female,Yes,No,Engineering,NA,"Yes, off campus",Bachelor's degree
R_24bXimTMsLkvxDj,2022-03-08 16:04:09,Drive alone,7H 0M 0S,20H 0M 0S,Yes,Parking,Convenience,Safety,Weather,Health,7,7,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.7083078,40.221537999999995,"Fake Survey, Bottom Left, USA",Drive alone or with siblings,Male,No,No,Business,NA,"Yes, on campus",No college/post-secondary education
R_1MKwJni7vQy2bxs,2022-03-08 16:06:23,Drive alone,7H 0M 0S,20H 0M 0S,Yes,Parking,Cost,Convenience,Safety,Weather,10,10,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.62876480000001,40.221537999999995,Bottom Right,Drive alone or with siblings,Male,Yes,"Yes, 1",Business,NA,"Yes, on campus",No college/post-secondary education
R_3ISNTopyA2aH2lp,2022-03-08 16:07:47,Drive alone,7H 0M 0S,20H 0M 0S,Yes,Parking,Cost,Privacy,Exercise,NA,10,4,Freshman,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.70821138424242,40.2824881,Fake Top Left,Drive alone or with siblings,Male,Yes,"Yes, 1",Business,NA,"Yes, on campus",No college/post-secondary education
R_2Pu0vW7QHHhnpvS,2022-03-08 16:09:21,Drive alone,7H 0M 0S,20H 0M 0S,Yes,Parking,Cost,NA,NA,NA,2,2,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.62876480000001,40.2824881,Fake Top Right,Drive alone or with siblings,Male,Yes,"Yes, 1",Business,NA,"Yes, on campus",No college/post-secondary education
